timestamp,market,direction,action,price,edge,stake,probability,profit_usdc,modus,target_price
2026-03-18 10:51:14,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.33,0.1113,1,0.4413,0,LIVE,0.3564
2026-03-18 10:51:17,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.28,0,1,0,-0.1515,LIVE,0
2026-03-18 10:51:18,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.28,0.1236,1,0.4036,0,LIVE,0.3024
2026-03-18 10:51:21,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.24,0,1,0,-0.1429,LIVE,0
2026-03-18 10:51:22,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.24,0.1628,1,0.4028,0,LIVE,0.2592
2026-03-18 10:51:24,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.32,0,1,0,0.3333,LIVE,0
2026-03-18 10:51:26,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.32,0.1117,1,0.4317,0,LIVE,0.3456
2026-03-18 10:51:30,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.24,0,1,0,-0.25,LIVE,0
2026-03-18 10:51:31,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.24,0.1692,1,0.4092,0,LIVE,0.2592
2026-03-18 10:51:34,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.15,0,1,0,-0.375,LIVE,0
2026-03-18 10:51:35,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.15,0.1987,1,0.3487,0,LIVE,0.162
2026-03-18 10:51:42,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.17,0,1,0,0.1333,LIVE,0
2026-03-18 10:51:48,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.13,0.1582,1,0.2882,0,LIVE,0.1404
2026-03-18 10:51:51,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.17,0,1,0,0.3077,LIVE,0
2026-03-18 10:51:55,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.14,0.1732,1,0.3132,0,LIVE,0.1512
2026-03-18 10:52:00,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.12,0,1,0,-0.1429,LIVE,0
2026-03-18 10:52:02,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.12,0.1904,1,0.3104,0,LIVE,0.1296
2026-03-18 10:52:04,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_SL,0.1,0,1,0,-0.1667,LIVE,0
2026-03-18 10:52:05,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.1,0.2025,1,0.3025,0,LIVE,0.108
2026-03-18 10:52:08,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.11,0,1,0,0.1,LIVE,0
2026-03-18 10:52:11,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.1,0.1981,1,0.2981,0,LIVE,0.108
2026-03-18 10:52:14,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,SELL_TP,0.13,0,1,0,0.3,LIVE,0
2026-03-18 10:52:15,"Bitcoin Up or Down - March 18, 5:50AM-5:55AM ET",UP,BUY,0.13,0.1792,1,0.3092,0,LIVE,0.1404
